Wavelength, nm	protein, t=0	t=660 min	t=900 min	t=1290 min	t=1320 min	t=1350 min	AF, t=1500 min
260	0.1196	0.0895	0.1821	-7.66E-03	0.0143	0.1522	-0.0267
259.8	0.1187	0.0882	0.1779	-7.49E-03	0.017	0.15	-0.024
259.6	0.1173	0.0871	0.1737	-7.25E-03	0.02	0.1476	-0.0212
259.4	0.1157	0.086	0.1695	-6.76E-03	0.0235	0.1451	-0.0188
259.2	0.1142	0.0846	0.1654	-6.24E-03	0.0271	0.1426	-0.0162
259	0.1132	0.0829	0.1609	-5.95E-03	0.0304	0.1399	-0.0134
258.8	0.1125	0.0813	0.1567	-5.59E-03	0.0334	0.1374	-0.0105
258.6	0.1117	0.0798	0.1525	-5.21E-03	0.0361	0.135	-7.33E-03
258.4	0.1104	0.0781	0.1484	-4.78E-03	0.0387	0.1326	-4.05E-03
258.2	0.1086	0.0764	0.1441	-4.34E-03	0.041	0.1298	-3.50E-04
258	0.1065	0.0745	0.1395	-4.07E-03	0.0432	0.1266	3.72E-03
257.8	0.1042	0.0724	0.1349	-3.91E-03	0.045	0.1232	7.87E-03
257.6	0.1018	0.0701	0.1305	-3.90E-03	0.0467	0.1197	0.0115
257.4	0.0995	0.0678	0.1263	-3.77E-03	0.0486	0.1163	0.0146
257.2	0.097	0.0661	0.1227	-3.44E-03	0.0506	0.1135	0.0166
257	0.0944	0.0646	0.1196	-2.57E-03	0.0528	0.111	0.0177
256.8	0.0914	0.0634	0.1175	-7.50E-04	0.0551	0.1093	0.0182
256.6	0.0882	0.0618	0.1162	1.83E-03	0.0577	0.108	0.0187
256.4	0.0854	0.0598	0.1157	4.73E-03	0.0602	0.107	0.0191
256.2	0.0827	0.0576	0.1154	7.68E-03	0.0626	0.1064	0.0191
256	0.08	0.0556	0.115	0.0103	0.0647	0.1059	0.0184
255.8	0.0773	0.054	0.1145	0.0128	0.0664	0.1055	0.0171
255.6	0.0743	0.0527	0.1137	0.015	0.0675	0.1048	0.0157
255.4	0.071	0.0518	0.1129	0.0173	0.0687	0.1039	0.0145
255.2	0.0677	0.0513	0.1121	0.0196	0.0699	0.1028	0.0134
255	0.0643	0.0506	0.1116	0.0224	0.0709	0.1016	0.0122
254.8	0.0612	0.0494	0.1112	0.0252	0.0709	0.1	0.0111
254.6	0.0589	0.0476	0.1104	0.0278	0.07	0.0981	0.0102
254.4	0.0572	0.0455	0.109	0.0299	0.0683	0.096	0.01
254.2	0.0553	0.0438	0.1072	0.0321	0.0666	0.0939	0.01
254	0.0524	0.0423	0.1056	0.0347	0.0654	0.0917	9.84E-03
253.8	0.0484	0.0403	0.1032	0.0372	0.0646	0.089	9.68E-03
253.6	0.0442	0.0378	0.1003	0.0394	0.0636	0.0857	9.60E-03
253.4	0.0405	0.035	0.097	0.0409	0.0626	0.0821	9.44E-03
253.2	0.0374	0.0324	0.0938	0.042	0.062	0.079	8.71E-03
253	0.0349	0.0303	0.0909	0.043	0.0615	0.0765	6.92E-03
252.8	0.033	0.0287	0.0879	0.0441	0.0612	0.0743	4.34E-03
252.6	0.0315	0.0276	0.0843	0.0453	0.0609	0.0719	1.53E-03
252.4	0.0298	0.0264	0.0802	0.0464	0.0599	0.069	-6.85E-04
252.2	0.0278	0.0247	0.0757	0.047	0.0583	0.0659	-2.22E-03
252	0.0258	0.023	0.071	0.047	0.056	0.0626	-3.06E-03
251.8	0.0242	0.0209	0.0658	0.0456	0.0529	0.0585	-3.71E-03
251.6	0.0231	0.019	0.0597	0.0428	0.0486	0.0537	-4.70E-03
251.4	0.0215	0.0173	0.053	0.039	0.0435	0.0484	-5.46E-03
251.2	0.0192	0.0156	0.0456	0.0343	0.0377	0.0424	-5.67E-03
251	0.0165	0.0137	0.0378	0.0293	0.0314	0.0357	-5.25E-03
250.8	0.0134	0.0112	0.0298	0.0236	0.0249	0.0285	-4.20E-03
250.6	0.0102	8.66E-03	0.0219	0.0178	0.0184	0.0213	-2.99E-03
250.4	7.03E-03	5.95E-03	0.0142	0.012	0.0117	0.014	-1.75E-03
250.2	3.64E-03	2.92E-03	6.93E-03	6.12E-03	5.47E-03	6.83E-03	-7.46E-04
250	0	0	0	0	0	0	0
249.8	-4.13E-03	-2.98E-03	-6.61E-03	-6.53E-03	-4.29E-03	-6.15E-03	3.13E-04
249.6	-8.96E-03	-5.64E-03	-0.0126	-0.0129	-7.71E-03	-0.0118	-1.54E-04
249.4	-0.0145	-8.50E-03	-0.0183	-0.0196	-0.011	-0.0176	-1.89E-03
249.2	-0.0197	-0.0119	-0.0236	-0.0266	-0.0149	-0.0235	-4.82E-03
249	-0.0241	-0.0156	-0.0287	-0.0343	-0.0192	-0.0296	-8.55E-03
248.8	-0.0275	-0.0188	-0.0331	-0.0424	-0.0236	-0.0352	-0.0131
248.6	-0.031	-0.0216	-0.0371	-0.0505	-0.0276	-0.0402	-0.0187
248.4	-0.0352	-0.0239	-0.0407	-0.0581	-0.0313	-0.0446	-0.025
248.2	-0.0396	-0.0265	-0.0445	-0.0654	-0.0352	-0.0494	-0.0315
248	-0.0445	-0.0297	-0.0486	-0.0729	-0.0393	-0.0542	-0.0375
247.8	-0.0505	-0.0335	-0.0532	-0.081	-0.0432	-0.0597	-0.0427
247.6	-0.0575	-0.038	-0.0578	-0.0896	-0.0469	-0.0654	-0.0467
247.4	-0.0649	-0.0426	-0.0622	-0.0985	-0.0497	-0.071	-0.0506
247.2	-0.0719	-0.0471	-0.0666	-0.1074	-0.052	-0.0766	-0.0549
247	-0.079	-0.0519	-0.0711	-0.116	-0.0538	-0.082	-0.0598
246.8	-0.0863	-0.057	-0.0758	-0.1238	-0.055	-0.0873	-0.0654
246.6	-0.0937	-0.0624	-0.0806	-0.1311	-0.0553	-0.0928	-0.0713
246.4	-0.1007	-0.0681	-0.0852	-0.138	-0.055	-0.0983	-0.0783
246.2	-0.107	-0.0739	-0.0893	-0.1446	-0.0544	-0.104	-0.087
246	-0.1126	-0.08	-0.0927	-0.1507	-0.0533	-0.1093	-0.097
245.8	-0.1177	-0.0862	-0.0954	-0.1563	-0.0524	-0.1146	-0.1085
245.6	-0.1225	-0.0929	-0.0982	-0.162	-0.0516	-0.1202	-0.1212
245.4	-0.127	-0.0999	-0.1011	-0.1681	-0.0514	-0.1258	-0.135
245.2	-0.1314	-0.1068	-0.1049	-0.1745	-0.0522	-0.1319	-0.1499
245	-0.1356	-0.1136	-0.1094	-0.1813	-0.0541	-0.1384	-0.1655
244.8	-0.1403	-0.12	-0.1145	-0.1879	-0.057	-0.1455	-0.1815
244.6	-0.1457	-0.1264	-0.1204	-0.1947	-0.0606	-0.1532	-0.1976
244.4	-0.1519	-0.1323	-0.1264	-0.2011	-0.064	-0.1606	-0.2136
244.2	-0.1596	-0.1373	-0.133	-0.2069	-0.0669	-0.1676	-0.2292
